Offer SKU,Product SKU,Category code,Category Label,Product,Offer state,Price,Quantity,Alert threshold,Logistic Class,Activated,Available Start Date,Available End Date
9321977720588,MKL_1871588_36,apparel & footwear > apparel > shorts,Shorts,"Ocean & Earth Mens Tropicana 19"" Boardshort Multi - F-Multi Variant Size Value 30",New,53.95,20,,SMW,yes,,
9321977720489,MKL_1871577_53,apparel & footwear > apparel > shorts,Shorts,"Ocean & Earth Mens Reef 19"" Boardshort Multi - C-Multi Variant Size Value 38",New,53.95,12,,SMW,yes,,
9321977720601,MKL_1871577_13,apparel & footwear > apparel > shorts,Shorts,"Ocean & Earth Mens Tropicana 19"" Boardshort Multi - F-Multi Variant Size Value 33",New,53.95,10,,SMW,yes,,
FIND19SOFTLexORANGE66P1,MKL_1866131_85,sports & outdoors > water sports > surf > surfboards,Surfboards,"FIND 6'6"" Tufflex Quadfish  Soft Surfboard Softboard + Cover + Leash Package - Orange",New,305.00,21,,SMW,yes,,
FIND19SOFTLexPINK7P1,MKL_1866324_105,sports & outdoors > water sports > surf > surfboards,Surfboards,"FIND 7'0"" Tufflex Thruster  Soft Surfboard Softboard + Cover + Leash Package - Pink",New,309.00,19,,SMW,yes,,
9330778542039,MKL_1870652_98,apparel & footwear > apparel > pants,Pants & Capris,Rojo Women's Snow Snow Day Bib Pants - Mossman Camo Variant Size Value Large,New,251.95,0,,SMW,no,,
FM007-BLK-43,MKL_1870652_165,apparel & footwear > footwear > boots,Boots,XTM Adult Male All Terrain Boots & Shoes Predator M Boot - Black Variant Size Value 43,New,42.95,107,,SMW,yes,,
FIND19SOFTRap2BLUE7,MKL_1891781_10,sports & outdoors > water sports > surf > surfboards,Surfboards,"FIND 7'0"" Tuffrap 2 Thruster Soft Surfboard - Blue",New,249.00,12,,SMW,yes,,
FIND19SOFTLexPINK7,MKL_1891778_9,sports & outdoors > water sports > surf > surfboards,Surfboards,"FIND 7'0"" Tufflex Thruster Soft Surfboard - Pink",New,249.00,19,,SMW,yes,,
FIND17SURFLeash7,MKL_1866372_101,sports & outdoors > water sports > surf > surfboards,Surfboards,7'0'' FIND Shortboard Straight Leash,New,19.99,123,,SMW,yes,,
ML012-BLK-10,MKL_1866207_280,apparel & footwear > apparel > pants,Pants & Capris,XTM Adult Female Thermal Bottoms Merino Ladies Pant 170 - Black Variant Size Value 10,New,63.95,20,,SMW,yes,,
FIND19SOFTLexORANGE66,MKL_1866295_301,sports & outdoors > water sports > surf > surfboards,Surfboards,"FIND 6'6"" Tufflex Quadfish Soft Surfboard - Orange",New,245.00,21,,SMW,yes,,
9321977720083,MKL_1871577_39,apparel & footwear > apparel > shorts,Shorts,Ocean & Earth Mens Cabo 20' Boardshort Multi - A-Multi Variant Size Value 30,New,47.95,13,,SMW,yes,,
9321977720786,MKL_1871577_17,apparel & footwear > apparel > shorts,Shorts,"Ocean & Earth Mens Bombora 19"" Wavewalker Short - Olive Variant Size Value 30US",New,53.95,29,,SMW,yes,,
9321977727525,MKL_1866131_249,apparel & footwear > apparel > shorts,Shorts,"Ocean & Earth Mens Bula 19"" Wavewalker Short - B-Grey Variant Size Value 32US",New,53.95,37,,SMW,yes,,
9321977727549,MKL_1866324_275,apparel & footwear > apparel > shorts,Shorts,"Ocean & Earth Mens Bula 19"" Wavewalker Short - B-Grey Variant Size Value 34US",New,53.95,45,,SMW,yes,,
9321977725989,MKL_1871577_2,apparel & footwear > apparel > shorts,Shorts,"Ocean & Earth Mens Vortex 19"" Wavewalker Short Charcoal - A-Charcoal Variant Size Value 34US",New,53.95,25,,SMW,yes,,
